Test Company,Ideal Company,Non-Ideal Company,Difference
abercrombiekent.com,0.19301347903135382,0.13439648406738616,0.05861699496396766
aberdeen-asset.com,0.10506623024195065,0.1544933964144996,-0.049427166172548956
aberdeencity.gov.uk,0.13743409794152586,0.2391489869631359,-0.10171488902161005
aberdeenshire.gov.uk,0.17866052196675444,0.28518384440724737,-0.10652332244049292
abm.com,0.21543579292658158,0.10368414113860744,0.11175165178797414
about.twitter.com,0.14455098382853157,0.09064694593714524,0.05390403789138633
rtugu b,0.0,0.0,0.0
absolute.com,0.2172082857817767,0.18057311589861103,0.036635169883165675
chnolog,0.0,0.0,0.0
academicpartnerships.com,0.20182106675417164,0.17661499033562258,0.02520607641854905
academy.com,0.021167855961540867,0.324460164161688,-0.30329230820014713
academymortgage.com,0.09002922052427768,0.33465194110609503,-0.24462272058181733
acadiahealthcare.com,0.13929862336104915,0.10849574286042163,0.030802880500627516
accaglobal.com,0.17668852536851753,0.291174545369959,-0.11448602000144148
e stude,0.0,0.0,0.0
accela.com,0.14468912397344225,0.13910933226162286,0.005579791711819382
accenture.com,0.24578086188659154,0.26816360381852256,-0.022382741931931016
policy ,0.0,0.0,0.0
accessdata.com,0.15576181061738908,0.15049618362080322,0.005265626996585865
accessintel.com,0.21991958837496106,0.21242400306403894,0.0074955853109221204
accolade-wines.com,0.1576096626288697,0.1547675322256489,0.0028421304032207884
accountingprincipals.com,0.2106806423972099,0.1882989079188988,0.0223817344783111
der sur,0.0,0.0,0.0
accruent.com,0.20092610887069748,0.15094334769712922,0.04998276117356826
 club c,0.0,0.0,0.0
Achieve3000.com,0.20902087635340813,0.20477758502608365,0.004243291327324483
gather ,0.0,0.0,0.0
achilles.com,0.21411316895646543,0.248210560683425,-0.03409739172695958
acn.cat,0.027102113761571345,0.0,0.027102113761571345
aconex.com,0.2508297473049954,0.21512751280550252,0.03570223449949289
 provid,0.0,0.0,0.0
acosta.com,0.2890896882896183,0.2533365835661293,0.03575310472348897
career ,0.0,0.0,0.0
acquia.com,0.16206948144505698,0.26656606173815645,-0.10449658029309947
and sec,0.0,0.0,0.0
acronis.com,0.12215044241806117,0.19757769240572184,-0.07542724998766068
act.gov.au,0.1926144516278124,0.16825553699962187,0.024358914628190537
actian.com,0.19382708223755143,0.1819040373260419,0.011923044911509528
actionforchildren.org.uk,0.14883815236810505,0.2365064560038722,-0.08766830363576716
ings ch,0.0,0.0,0.0
actiononhearingloss.org.uk,0.23364694410901984,0.24934208766063193,-0.015695143551612084
lexi gr,0.0,0.0,0.0
ACTIVEnetwork.com,0.10374670426189958,0.19619157871182302,-0.09244487444992344
activision.com,0.12325768271489394,0.23304646420510453,-0.10978878149021058
 years ,0.0,0.0,0.0
Act-On.com,0.21544814635021425,0.26487159239254526,-0.04942344604233101
actuant.com,0.285989579354701,0.16545412822237052,0.12053545113233047
acu.edu.au,0.15467671240548492,0.188442443899908,-0.03376573149442308
u stude,0.0,0.0,0.0
acxiom.com,0.19080603168671853,0.24615057996341927,-0.05534454827670074
adamsmithinternational.com,0.11555110674028461,0.10383376843427632,0.011717338306008296
adapt.com,0.1867172771803301,0.11264605169191948,0.07407122548841062
adbri.com.au,0.21667204223151462,0.12807320272502484,0.08859883950648978
addisongroup.com,0.13549652888923241,0.1749893200618074,-0.03949279117257498
adelaide.edu.au,0.20121592892775444,0.18296395864819323,0.018251970279561214
adelaidefestivalcentre.com.au,0.15198142216356594,0.15524471109676746,-0.003263288933201519
 armstr,0.0,0.0,0.0
aderant.com,0.2738397893327784,0.20022136267405286,0.07361842665872556
adknowledge.com,0.0,0.02517309944340066,-0.02517309944340066
adm.com,0.19217583689008413,0.13176198950253423,0.0604138473875499
admiraltaverns.co.uk,0.2861085733302203,0.22406941630546298,0.06203915702475729
adobe.com,0.23915787802721614,0.19270139079362558,0.046456487233590554
solutio,0.0,0.0,0.0
adroll.com,0.2477636122723101,0.19425885998739428,0.05350475228491583
ms time,0.0,0.0,0.0
adstream.com,0.16708711956631003,0.17858928216490008,-0.011502162598590049
adtran.com,0.1396856465955522,0.129549081033372,0.010136565562180178
AdvancedSolutions.com,0.2349245540389307,0.17882741704948918,0.05609713698944152
advancepierre.com,0.08412103357754389,0.15283739070666488,-0.068716357129121
advantedge.com.au,0.0624520698165797,0.0819284940149244,-0.0194764241983447
advent.com,0.23950288957678859,0.19380751710897953,0.04569537246780905
mand in,0.0,0.0,0.0
advisory.com,0.16740594808335885,0.12629352039757707,0.04111242768578177
urgery ,0.0,0.0,0.0
advocare.com,0.25077937381965515,0.37002418561156003,-0.11924481179190488
nent re,0.0,0.0,0.0
ae.com,0.11297528336684705,0.2545732656306948,-0.1415979822638478
aegisworld.com,0.16548865053299178,0.062182988521654575,0.1033056620113372
aegon.co.uk,0.20590763430184358,0.18598085297437508,0.0199267813274685
 warc r,0.0,0.0,0.0
aegworldwide.com,0.2146266003125269,0.29047943906173873,-0.07585283874921184
k venue,0.0,0.0,0.0
aenetworks.com,0.18646698234143538,0.330261738398455,-0.14379475605701963
